ve,vf,vr,df,dr,d_safe_f,d_safe_r,delta_df,u_total
0.3,0.22535758740135042,0.25762253828377213,0.7962126612678992,1.7363311916711743,0.45999999999999996,0.4303357767986405,0.3362126612678993,0.0
0.3,0.22494089169860326,0.25764802141492027,0.7887484200080342,1.740568937842797,0.45999999999999996,0.43035361499044417,0.3287484200080343,0.0
0.3,0.22454503078099347,0.25767223038951104,0.7812425091778946,1.744804135701305,0.45999999999999996,0.4303705612726577,0.32124250917789465,0.0
0.3,0.22416896290926416,0.2576952289153722,0.773697012255994,1.749036912662354,0.45999999999999996,0.43038666024076055,0.313697012255994,0.0
0.3,0.22381169843112134,0.2577170775149404,0.7661139085469204,1.7532673897708166,0.45999999999999996,0.43040195426045824,0.30611390854692044,0.0
0.3,0.22347229717688563,0.2577378336845301,0.7584950783900325,1.7574956820193226,0.45999999999999996,0.43041648357917106,0.29849507839003253,0.0
0.3,0.2231498659853617,0.2577575520456404,0.750842308107721,1.7617218986508696,0.45999999999999996,0.43043028643194825,0.29084230810772105,0.0
0.3,0.222843556353414,0.2577762844886951,0.7431572947062571,1.7659461434463055,0.45999999999999996,0.43044339914208657,0.28315729470625717,0.0
0.3,0.22255256220306366,0.2577940803095971,0.7354416503415986,1.770168514997436,0.45999999999999996,0.430455856216718,0.2754416503415986,0.0
0.3,0.22227611776023085,0.257810986339454,0.727696906561905,1.7743891069664763,0.45999999999999996,0.4304676904376178,0.26769690656190503,0.0
0.3,0.22201349553953967,0.25782704706781806,0.719924518337928,1.7786080083325309,0.45999999999999996,0.43047893294747264,0.25992451833792807,0.0
0.3,0.22176400442988306,0.25784230475976394,0.712125867891882,1.782825303625749,0.45999999999999996,0.4304896133318348,0.25212586789188207,0.0
0.3,0.2215269878757093,0.2578567995671125,0.7043022683348703,1.7870410731497728,0.45999999999999996,0.43049975969697873,0.24430226833487034,0.0
0.3,0.2213018221492442,0.2578705696340936,0.6964549671224413,1.7912553931930615,0.45999999999999996,0.4305093987438655,0.2364549671224413,0.0
0.3,0.22108791470910238,0.25788365119772566,0.6885851493373657,1.7954683362296522,0.45999999999999996,0.4305185558384079,0.22858514933736573,0.0
0.3,0.22088470264096763,0.25789607868317616,0.6806939408082759,1.7996799711098797,0.45999999999999996,0.4305272550782233,0.22069394080827598,0.0
0.3,0.22069165117623962,0.2579078847943541,0.6727824110723727,1.803890363241562,0.45999999999999996,0.43053551935604784,0.21278241107237272,0.0
0.3,0.22050825228474802,0.25791910059997314,0.6648515761899967,1.8080995747621265,0.45999999999999996,0.4305433704199812,0.20485157618999672,0.0
0.3,0.220334023337831,0.25792975561531123,0.6569024014184714,1.8123076647021292,0.45999999999999996,0.43055082893071783,0.19690240141847148,0.0
0.3,0.22016850583825984,0.25793987787988243,0.6489358037522546,1.816514689140598,0.45999999999999996,0.4305579145159177,0.1889358037522546,0.0
